value:integer
[362, 757, 910, 1254, 1350, 1536, 1654, 1732, 1875, 1944]
[632, 859, 1042, 1222, 1404, 1427, 1609, 1743, 1800, 1957]
[463, 719, 958, 1187, 1404, 1419, 1564, 1677, 1845, 1929]
[223, 691, 958, 1138, 1405, 1424, 1654, 1730, 1888, 1931]
[600, 670, 1022, 1259, 1367, 1493, 1564, 1779, 1895, 1976]
[362, 801, 896, 1169, 1302, 1525, 1618, 1736, 1815, 1913]
[618, 704, 1035, 1155, 1367, 1535, 1615, 1747, 1823, 1910]
[282, 790, 1023, 1203, 1286, 1436, 1622, 1742, 1795, 1903]
[265, 715, 1051, 1124, 1392, 1506, 1560, 1762, 1800, 1922]
[395, 801, 1080, 1199, 1344, 1500, 1657, 1684, 1794, 1983]
[611, 650, 1022, 1108, 1373, 1438, 1663, 1695, 1846, 1911]
[611, 739, 991, 1239, 1276, 1475, 1555, 1708, 1873, 1917]
[340, 656, 943, 1169, 1357, 1538, 1582, 1701, 1830, 1907]
[81, 791, 919, 1102, 1361, 1453, 1592, 1727, 1798, 1973]
[615, 684, 1033, 1108, 1322, 1446, 1640, 1781, 1838, 1967]
[574, 771, 1018, 1205, 1338, 1545, 1593, 1715, 1894, 1915]
[348, 865, 937, 1195, 1339, 1524, 1629, 1748, 1810, 1928]
[315, 862, 1069, 1228, 1364, 1542, 1554, 1777, 1887, 1937]
[572, 638, 1036, 1222, 1312, 1462, 1645, 1752, 1863, 1989]
[421, 832, 1032, 1153, 1307, 1510, 1563, 1711, 1831, 1924]
[146, 819, 1096, 1185, 1318, 1462, 1650, 1701, 1870, 1943]
[283, 806, 1050, 1103, 1346, 1415, 1601, 1775, 1827, 1927]
[502, 670, 1082, 1180, 1352, 1535, 1561, 1772, 1838, 1972]
[168, 793, 916, 1223, 1284, 1446, 1635, 1690, 1801, 1971]
[342, 747, 1014, 1169, 1364, 1496, 1666, 1744, 1886, 1920]
[556, 648, 1046, 1209, 1414, 1466, 1579, 1706, 1890, 1899]
[506, 679, 1054, 1096, 1320, 1423, 1662, 1748, 1890, 1924]
[560, 660, 901, 1220, 1314, 1537, 1551, 1759, 1879, 1925]
[315, 674, 901, 1186, 1380, 1456, 1567, 1737, 1797, 1934]
[229, 874, 945, 1218, 1369, 1427, 1552, 1709, 1855, 1936]
[625, 810, 1003, 1160, 1380, 1463, 1646, 1703, 1852, 1922]
[496, 695, 924, 1158, 1292, 1442, 1640, 1688, 1825, 1930]
[397, 887, 1077, 1124, 1266, 1418, 1624, 1740, 1889, 1920]
[521, 792, 1054, 1209, 1303, 1470, 1568, 1689, 1845, 1910]
[486, 734, 1028, 1196, 1330, 1439, 1554, 1706, 1852, 1926]
[90, 882, 1018, 1168, 1352, 1417, 1582, 1757, 1828, 1923]
[514, 794, 1024, 1233, 1400, 1509, 1654, 1786, 1823, 1955]
[429, 707, 971, 1142, 1372, 1448, 1611, 1770, 1827, 1973]
[373, 820, 1000, 1165, 1318, 1440, 1671, 1750, 1811, 1973]
[448, 638, 946, 1169, 1379, 1489, 1568, 1716, 1819, 1998]
[100, 852, 916, 1161, 1373, 1449, 1589, 1764, 1871, 1923]
[422, 756, 1005, 1147, 1400, 1519, 1633, 1750, 1792, 1913]
[598, 878, 1027, 1210, 1268, 1434, 1553, 1696, 1853, 1969]
[621, 636, 921, 1245, 1312, 1499, 1664, 1722, 1815, 1987]
